date,date_label,ndvi,ndre
20220411,Apr 11,0.3142791,0.21689683
20220514,May 14,0.4880131,0.365045
20220623,Jun 23,0.39557025,0.29230243
20220725,Jul 25,0.34930986,0.25738105
20220812,Aug 12,0.25364998,0.17825662
20221115,Nov 15,0.3512329,0.23201531
